"label","year","month","day","region","island","side","id_reef","reef","reef_joined","protection_status","latitude","longitude","habitat","transect","area","phylum","taxa1","taxa2","taxa3","family","trophic_group","trophic_level","functional_groups","a_ord","b_pen","species","quantity","size","biomass"
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,16,0.0312
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Windward",6,"Vapor",3,"MPA",22.539501,-89.654101,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,20,0.0298
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",2,"Caribbean",2,"MPA",22.384533,-89.625483,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,8,0.0042
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",11,"Bajos del norte 2",7,"OA",23.242433,-88.714417,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,22,0.0393
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,2,1e-04
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",10,"Bajos del norte",7,"OA",23.242417,-88.714417,"Coral",1,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,26,0.0638
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,14,0.0106
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",5,"Arcos",5,"NTZ",22.587133,-89.753317,"Coral",1,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,30,0.0967
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",7,"Alacranes 7",4,"NTZ",22.505151,-89.796617,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,18,0.0219
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",5,"Arcos",5,"NTZ",22.587133,-89.753317,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,25,0.1139
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",2,"Caribbean",2,"MPA",22.384533,-89.625483,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,8,0.0021
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",5,"Arcos",5,"NTZ",22.587133,-89.753317,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,25,0.057
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",12,"Paso del zorro",8,"OA",23.261683,-88.695417,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,20,0.0298
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",1,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,22,0.0393
"PEC",2019,8,11,"Bajo del Norte","Bajos del Norte","Bajos",14,"Estadio",9,"OA",23.198917,-88.974133,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,25,0.057
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,40,0.2231
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",3,20,0.0894
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",12,"Paso del zorro",8,"OA",23.261683,-88.695417,"Coral",1,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,30,0.0967
"PEC",2019,8,11,"Bajo del Norte","Bajos del Norte","Bajos",13,"Paso del zorro 2",8,"OA",23.261683,-88.695417,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,30,0.0967
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",7,"Alacranes 7",4,"NTZ",22.505151,-89.796617,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,20,0.0298
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,8,0.0021
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward",1,"Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",1,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,40,0.2231
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",12,"Paso del zorro",8,"OA",23.261683,-88.695417,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",6,8,0.0125
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",5,"Arcos",5,"NTZ",22.587133,-89.753317,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",3,10,0.0119
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",10,"Bajos del norte",7,"OA",23.242417,-88.714417,"Coral",1,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,14,0.0106
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,18,0.0219
"PEC",2019,8,11,"Bajo del Norte","Bajos del Norte","Bajos",14,"Estadio",9,"OA",23.198917,-88.974133,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",3,3,4e-04
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",12,"Paso del zorro",8,"OA",23.261683,-88.695417,"Coral",1,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",4,4,0.0011
"PEC",2019,8,11,"Bajo del Norte","Bajos del Norte","Bajos",13,"Paso del zorro 2",8,"OA",23.261683,-88.695417,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,22,0.0786
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",2,"Caribbean",2,"MPA",22.384533,-89.625483,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,18,0.0439
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",11,"Bajos del norte 2",7,"OA",23.242433,-88.714417,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,7,0.0028
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",11,"Bajos del norte 2",7,"OA",23.242433,-88.714417,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,30,0.0967
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",12,"Paso del zorro",8,"OA",23.261683,-88.695417,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,10,0.004
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",12,"Paso del zorro",8,"OA",23.261683,-88.695417,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",3,24,0.1518
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",4,"Sardinas",4,"NTZ",22.505367,-89.795701,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",3,12,0.0203
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",8,"Piedra Ballena",6,"NTZ",22.567701,-89.779633,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",5,24,0.253
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,40,0.2231
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",12,"Paso del zorro",8,"OA",23.261683,-88.695417,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,20,0.0298
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",7,"Alacranes 7",4,"NTZ",22.505151,-89.796617,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,12,0.0068
"PEC",2019,8,11,"Bajo del Norte","Bajos del Norte","Bajos",13,"Paso del zorro 2",8,"OA",23.261683,-88.695417,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,24,0.0506
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,22,0.0393
"PEC",2019,8,11,"Bajo del Norte","Bajos del Norte","Bajos",15,"Final",10,"OA",23.171183,-88.951301,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",5,20,0.149
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",11,"Bajos del norte 2",7,"OA",23.242433,-88.714417,"Coral",1,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,4,3e-04
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",7,"Alacranes 7",4,"NTZ",22.505151,-89.796617,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,16,0.0156
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",2,"Caribbean",2,"MPA",22.384533,-89.625483,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,40,0.2231
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",7,"Alacranes 7",4,"NTZ",22.505151,-89.796617,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,5,5e-04
"PEC",2019,8,11,"Bajo del Norte","Bajos del Norte","Bajos",13,"Paso del zorro 2",8,"OA",23.261683,-88.695417,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,25,0.057
"PEC",2019,8,11,"Bajo del Norte","Bajos del Norte","Bajos",13,"Paso del zorro 2",8,"OA",23.261683,-88.695417,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,30,0.0967
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",2,"Caribbean",2,"MPA",22.384533,-89.625483,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,10,0.004
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",3,"Tweed",3,"MPA",22.546017,-89.661001,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,28,0.1584
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",4,"Sardinas",4,"NTZ",22.505367,-89.795701,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,30,0.1935
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Windward",9,"Tata y Rafa",3,"MPA",22.553851,-89.653701,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",5,24,0.253
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",11,"Bajos del norte 2",7,"OA",23.242433,-88.714417,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,20,0.0596
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",8,"Piedra Ballena",6,"NTZ",22.567701,-89.779633,"Coral",1,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,40,0.2231
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",11,"Bajos del norte 2",7,"OA",23.242433,-88.714417,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",3,24,0.1518
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",4,"Sardinas",4,"NTZ",22.505367,-89.795701,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,30,0.0967
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",5,"Arcos",5,"NTZ",22.587133,-89.753317,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,20,0.0596
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",12,"Paso del zorro",8,"OA",23.261683,-88.695417,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,14,0.0106
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",7,"Alacranes 7",4,"NTZ",22.505151,-89.796617,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,20,0.0298
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",10,"Bajos del norte",7,"OA",23.242417,-88.714417,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,25,0.1139
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",12,"Paso del zorro",8,"OA",23.261683,-88.695417,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,18,0.0439
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Windward",9,"Tata y Rafa",3,"MPA",22.553851,-89.653701,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,30,0.1935
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",10,"Bajos del norte",7,"OA",23.242417,-88.714417,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",5,24,0.253
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Windward",6,"Vapor",3,"MPA",22.539501,-89.654101,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,18,0.0219
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",12,"Paso del zorro",8,"OA",23.261683,-88.695417,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",5,10,0.0199
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",10,"Bajos del norte",7,"OA",23.242417,-88.714417,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,25,0.057
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Windward",9,"Tata y Rafa",3,"MPA",22.553851,-89.653701,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",3,25,0.1709
"PEC",2019,8,11,"Bajo del Norte","Bajos del Norte","Bajos",13,"Paso del zorro 2",8,"OA",23.261683,-88.695417,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,30,0.0967
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",7,"Alacranes 7",4,"NTZ",22.505151,-89.796617,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",3,4,8e-04
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",7,"Alacranes 7",4,"NTZ",22.505151,-89.796617,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,6,9e-04
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",4,"Sardinas",4,"NTZ",22.505367,-89.795701,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",2,5,0.0011
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",8,"Piedra Ballena",6,"NTZ",22.567701,-89.779633,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,30,0.0967
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Windward",2,"Caribbean",2,"MPA",22.384533,-89.625483,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,25,0.057
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Windward",9,"Tata y Rafa",3,"MPA",22.553851,-89.653701,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,25,0.057
"PEC",2019,8,11,"Bajo del Norte","Bajos del Norte","Bajos",13,"Paso del zorro 2",8,"OA",23.261683,-88.695417,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,26,0.0638
"PEC",2019,8,9,"Alacranes","Arrecife Alacranes","Leeward",7,"Alacranes 7",4,"NTZ",22.505151,-89.796617,"Coral",5,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",3,1,0
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",11,"Bajos del norte 2",7,"OA",23.242433,-88.714417,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,5,5e-04
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Leeward",4,"Sardinas",4,"NTZ",22.505367,-89.795701,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",1,30,0.0967
"PEC",2019,8,8,"Alacranes","Arrecife Alacranes","Windward",6,"Vapor",3,"MPA",22.539501,-89.654101,"Coral",4,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",3,12,0.0203
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",10,"Bajos del norte",7,"OA",23.242417,-88.714417,"Coral",3,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Scaridae","Herbivore",2,"browsers",0.0297,2.905,"Sparisoma viride",10,18,0.2194
"PEC",2019,8,10,"Bajo del Norte","Bajos del Norte","Bajos",10,"Bajos del norte",7,"OA",23.242417,-88.714417,"Coral",2,60,"Chordata","Vertebrata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Carnivore",3.27,"macro-invertivores",0.042,2.61,"Sphoeroides spengleri",1,9,0.0022
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward",1,"Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",6,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Sphyraenidae","Piscivore",4.49,"piscivores",0.00631,3,"Sphyraena barracuda",2,60,0.4543
"PEC",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward",1,"Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",1,60,"Chordata","Vertebrata","Actinopterygii","Perciformes","Sphyraenidae","Piscivore",4.49,"piscivores",0.00631,3,"Sphyraena barracuda",4,60,0.9086
